46666;13;SDL-230104974;Tukar Faktur;PY-IN-23001619;;2023-01-20;Affen;MEGA;1725550;HT0354;PT KUSUMA INTI ABADI;PT KUSUMA INTI ABADI;2023-01-06;A/R Invoice;SO20301105606;SS20230100578;NULL;666000
46667;13;SDL-230104556;Tukar Faktur;PY-IN-23001619;;2023-01-20;Affen;MEGA;1725550;HT0354;PT KUSUMA INTI ABADI;PT KUSUMA INTI ABADI;2023-01-06;A/R Invoice;SO20301105716;SS20230100578;NULL;33300
98;13;SDL-230100654;Tukar Faktur;PY-IN-23001619;;2023-01-20;Affen;MEGA;1725550;HT0354;PT KUSUMA INTI ABADI;PT KUSUMA INTI ABADI;2023-01-03;A/R Invoice;SO20301100447;SS20230100578;NULL;1026250
22244;13;SDL-230103667;Tukar Faktur;PY-IN-23003656;;2023-01-24;Bibit;MEGA;1536000;HT0339;PT BUANA SABAS FATTAH;PT BUANA SABAS FATTAH;2023-01-05;A/R Invoice;SO20301103976;SS20230101183;NULL;1536000
49602;13;SDL-230106080;Tukar Faktur;PY-IN-23003734;;2023-01-24;Ridwan;MEGA;1344000;HT0358;PT CIKARANG BERKAT MAKMUR;PT CIKARANG BERKAT MAKMUR;2023-01-07;A/R Invoice;SO20301105984;SS20230101538;NULL;1344000
11399;13;2128000805;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221208371;SS20221208827;NULL;2820800
11400;13;2128000806;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221208374;SS20221208827;NULL;1533000
4222;13;2121000170;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221206418;SS20221208827;NULL;3348800
4377;13;2121001114;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221212322;SS20221208827;NULL;440000
4525;13;2121001975;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221216161;SS20221208827;NULL;1371250
4526;13;2121001976;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221216163;SS20221208827;NULL;1947000
5695;13;2122000115;Giro;PY-IN-23003805;;2023-01-24;Jefri;MEGA;31803150;HT0115;PT. MILLENNIUM SIRIH JKT HTL;MILLENIUM SIRIH HOTEL;2022-12-31;A/R Invoice;SO20221205259;SS20221208827;NULL;3147300
